PROBEID,SYMBOL,GENENAME,LOGFC,AVEEXPR,T,P.VALUE,ADJ.P.VAL,B,CONDITION,TIME
227357_at,TAB3,TGF-beta activated kinase 1 (MAP3K7) binding protein 3,0.52684378,5.636125614,4.186865359,8.87E-05,0.003127367,1.286708651,0,8.41
221702_s_at,TM2D3,TM2 domain containing 3,0.283174655,9.235120004,4.186177606,8.89E-05,0.003130378,1.284520779,0,20.01
1568589_at,ALB,albumin,-0.326630714,8.461210151,-4.186009753,8.90E-05,0.003130378,1.283986835,1,20.27
234809_at,ZC4H2,zinc finger C4H2-type containing,-0.341107375,4.130183343,-4.185707629,8.91E-05,0.003131375,1.283025805,1,25
204780_s_at,FAS,Fas cell surface death receptor,0.546234908,7.751480778,4.185533659,8.91E-05,0.003131375,1.282472439,0,33.71
219108_x_at,DDX27,DEAD-box helicase 27,-0.179459546,7.763063014,-4.182481327,9.01E-05,0.003159322,1.272765589,1,17.38
202318_s_at,SENP6,SUMO specific peptidase 6,0.389399588,8.222173097,4.182380819,9.01E-05,0.003159322,1.272446024,0,11.07
219482_at,SETD4,SET domain containing 4,-0.328833388,6.260297208,-4.181069837,9.05E-05,0.003171534,1.26827816,1,34
203884_s_at,RAB11FIP2,RAB11 family interacting protein 2,0.474908942,5.119377105,4.180655785,9.07E-05,0.003171879,1.266961959,0,11.99
225989_at,HERC4,HECT and RLD domain containing E3 ubiquitin protein ligase 4,0.604432516,5.894968466,4.179896755,9.09E-05,0.003176658,1.264549317,0,8.61
202540_s_at,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.39568826,6.870651888,4.179646076,9.10E-05,0.003176658,1.263752564,0,29.04
202778_s_at,ZMYM2,zinc finger MYM-type containing 2,0.458827688,6.988291327,4.177206946,9.17E-05,0.003199254,1.256001465,0,6.11
1558522_at,PALS2,"protein associated with LIN7 2, MAGUK p55 family member",-0.480500021,5.384678882,-4.175324704,9.23E-05,0.003215836,1.250021747,1,18.23
212269_s_at,MCM3AP,minichromosome maintenance complex component 3 associated protein,-0.224553379,8.189707065,-4.173984911,9.28E-05,0.003226475,1.245766248,1,13.93
219298_at,ECHDC3,enoyl-CoA hydratase domain containing 3,0.556007863,5.432307847,4.17343913,9.29E-05,0.003230429,1.244032933,0,6.01
216667_at,RNASE2CP,"ribonuclease A family member 2C, pseudogene",0.406999019,4.755153934,4.172698896,9.32E-05,0.003236554,1.241682265,0,6.11
210479_s_at,RORA,RAR related orphan receptor A,-0.388004249,9.381444188,-4.172226533,9.33E-05,0.003237656,1.240182362,1,9.59
203519_s_at,UPF2,UPF2 regulator of nonsense mediated mRNA decay,0.296263518,8.739733006,4.172220431,9.33E-05,0.003237656,1.240162989,0,0
218951_s_at,PLCXD1,phosphatidylinositol specific phospholipase C X domain containing 1,-0.403593,5.677744285,-4.171997922,9.34E-05,0.003238023,1.239456483,1,47.37
242644_at,TMC8,transmembrane channel like 8,-0.340664081,6.270546632,-4.171465531,9.36E-05,0.003241847,1.237766134,1,11.99
200022_at,RPL18,ribosomal protein L18,-0.312674109,10.62733236,-4.170893816,9.38E-05,0.003246115,1.235951065,1,14.98
224288_x_at,FKSG49,hepatocellular carcinoma-associated antigen HCA25b,-0.150834736,10.25935313,-4.170697728,9.38E-05,0.003246191,1.235328558,1,6.96
200056_s_at,C1D,C1D nuclear receptor corepressor,0.492462125,3.441308371,4.169746838,9.41E-05,0.003252595,1.232310073,0,37.78
1553567_s_at,ATP6,ATP synthase F0 subunit 6,-0.227172496,11.73242134,-4.169483064,9.42E-05,0.003253433,1.231472821,1,26.02
225009_at,CMTM4,CKLF like MARVEL transmembrane domain containing 4,0.344230739,4.45556667,4.168790637,9.44E-05,0.003259076,1.229275108,0,0
243492_at,THEM4,thioesterase superfamily member 4,-0.470692978,5.385672904,-4.167611276,9.48E-05,0.003265963,1.225532368,1,12.42
221873_at,ZNF143,zinc finger protein 143,0.328030592,4.616044145,4.165470739,9.55E-05,0.003285232,1.218740793,0,74.51
221802_s_at,SHTN1,shootin 1,0.611710414,5.708171056,4.165358569,9.56E-05,0.003285232,1.218384951,0,19.97
215933_s_at,HHEX,hematopoietically expressed homeobox,0.402730601,5.741203889,4.164442269,9.59E-05,0.003287444,1.215478313,0,39.39
209369_at,ANXA3,annexin A3,1.167058624,6.131620134,4.164324626,9.59E-05,0.003287444,1.215105157,0,84.23
221434_s_at,SLIRP,SRA stem-loop interacting RNA binding protein,0.410198271,5.215522023,4.163938739,9.60E-05,0.003287444,1.213881192,0,25.46
210948_s_at,LEF1,lymphoid enhancer binding factor 1,-0.57411597,6.790685218,-4.16380275,9.61E-05,0.003287444,1.213449873,1,21.98
209185_s_at,IRS2,insulin receptor substrate 2,0.674103022,7.000576766,4.163794231,9.61E-05,0.003287444,1.213422854,0,15.83
203964_at,NMI,N-myc and STAT interactor,0.492986588,8.532946999,4.163639681,9.61E-05,0.003287444,1.212932674,0,19.97
213366_x_at,ATP5F1C,ATP synthase F1 subunit gamma,0.498741523,7.571267466,4.16105621,9.70E-05,0.003312932,1.204740297,0,31.6
226119_at,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,0.50906175,9.881543751,4.159459237,9.75E-05,0.003324332,1.199677583,0,18.99
218254_s_at,SAR1B,secretion associated Ras related GTPase 1B,0.561640846,3.692705839,4.157016227,9.83E-05,0.003350207,1.191934842,0,1.02
209174_s_at,QRICH1,glutamine rich 1,-0.208532331,8.773267053,-4.154720669,9.91E-05,0.003367861,1.184661722,1,36.99
202246_s_at,CDK4,cyclin dependent kinase 4,-0.276797956,6.614689041,-4.152900485,9.97E-05,0.003382396,1.178896332,1,19.45
215285_s_at,PHTF1,putative homeodomain transcription factor 1,0.521096585,5.324017787,4.152743298,9.98E-05,0.003382396,1.178398511,0,19.65
201012_at,ANXA1,annexin A1,0.479425369,9.101904926,4.15228681,9.99E-05,0.003385543,1.176952844,0,30.98
1558517_s_at,LRRC8C,leucine rich repeat containing 8 VRAC subunit C,-0.364138409,5.91540023,-4.151954964,0.000100062,0.003385885,1.175901967,1,0
202703_at,DUSP11,dual specificity phosphatase 11,0.269714819,6.753749102,4.150789712,0.000100463,0.003392181,1.172212258,0,12.35
200616_s_at,MLEC,malectin,-0.203966268,8.288851476,-4.150555123,0.000100544,0.003392759,1.171469515,1,39.95
226763_at,SESTD1,SEC14 and spectrin domain containing 1,0.344682661,5.941044754,4.149841009,0.00010079,0.003398929,1.169208664,0,9.69
209551_at,YIPF4,Yip1 domain family member 4,0.51301566,4.216853636,4.148508109,0.000101253,0.003404336,1.164989344,0,35.71
212628_at,PKN2,protein kinase N2,0.533779529,7.451385929,4.148146786,0.000101378,0.003404336,1.163845699,0,40.97
222390_at,WAC,WW domain containing adaptor with coiled-coil,0.286406745,8.351767848,4.147986936,0.000101434,0.003404336,1.163339767,0,108.94
244043_at,TFDP2,transcription factor Dp-2,-0.55742094,6.474543916,-4.147977092,0.000101437,0.003404336,1.16330861,1,51.94
202061_s_at,SEL1L,SEL1L adaptor subunit of SYVN1 ubiquitin ligase,0.396998641,7.995417954,4.147891716,0.000101467,0.003404336,1.163038395,0,21.98
203893_at,AK6,adenylate kinase 6,0.582981143,5.538804913,4.147127776,0.000101734,0.003404336,1.160620668,0,9.63
221943_x_at,RPL38,ribosomal protein L38,-0.14758669,11.88399846,-4.147053869,0.000101759,0.003404336,1.160386779,1,15.01
222870_s_at,B3GNT2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",0.524399819,8.025318499,4.147038623,0.000101765,0.003404336,1.160338532,0,69.97
219242_at,CEP63,centrosomal protein 63,0.42736241,7.172245973,4.143957403,0.000102846,0.003433397,1.150589668,0,32
239196_at,ANKRD22,ankyrin repeat domain 22,1.206778896,3.11771465,4.142252464,0.000103449,0.003451368,1.145197035,0,25
237897_at,ADAM17,ADAM metallopeptidase domain 17,0.372911624,5.137924453,4.141991044,0.000103542,0.003452297,1.144370287,0,33.97
205238_at,TRMT2B,tRNA methyltransferase 2 homolog B,-0.338328427,5.264620236,-4.140139903,0.000104202,0.003467756,1.138516825,1,19.97
212491_s_at,DNAJC8,DnaJ heat shock protein family (Hsp40) member C8,0.27956214,5.95350171,4.139879136,0.000104295,0.003468686,1.137692375,0,8.41
202429_s_at,PPP3CA,protein phosphatase 3 catalytic subunit alpha,0.441829585,6.620805075,4.139586222,0.0001044,0.00347,1.136766321,0,1.02
200687_s_at,SF3B3,splicing factor 3b subunit 3,-0.295503445,6.898875288,-4.139267046,0.000104514,0.003470254,1.135757283,1,15.6
225852_at,ANKRD17,ankyrin repeat domain 17,-0.224363783,8.032445984,-4.139166437,0.00010455,0.003470254,1.135439227,1,39.95
211286_x_at,CSF2RA,colony stimulating factor 2 receptor subunit alpha,0.328971625,6.229176223,4.138894294,0.000104648,0.003470254,1.134578923,0,14.29
243318_at,DCAF8,DDB1 and CUL4 associated factor 8,-0.255493332,6.470629994,-4.138777091,0.00010469,0.003470254,1.134208431,1,11.07
211968_s_at,HSP90AA1,heat shock protein 90 alpha family class A member 1,0.47689999,8.008010168,4.138654291,0.000104734,0.003470254,1.133820248,0,11.99
204404_at,SLC12A2,solute carrier family 12 member 2,-0.42187694,4.885782072,-4.136822628,0.000105394,0.003489937,1.128030964,1,9.46
233268_s_at,CHURC1,churchill domain containing 1,0.299247753,6.630462229,4.135680188,0.000105807,0.003497093,1.124420813,0,109.2
212809_at,NFATC2IP,nuclear factor of activated T cells 2 interacting protein,-0.20544242,6.377512546,-4.1325028,0.000106965,0.003530409,1.114383064,1,13.01
205017_s_at,MBNL2,muscleblind like splicing regulator 2,-0.304124841,6.132669598,-4.132369138,0.000107014,0.003530409,1.113960903,1,32.98
228281_at,DDIAS,DNA damage induced apoptosis suppressor,0.432856746,3.555543996,4.130364125,0.000107752,0.003550332,1.107629156,0,26.97
228945_s_at,SLC39A8,solute carrier family 39 member 8,-0.295838339,6.874178076,-4.129838255,0.000107946,0.003552328,1.105968761,1,32.42
1569688_at,FMO5,flavin containing dimethylaniline monoxygenase 5,-0.505944681,5.248212385,-4.128896666,0.000108295,0.003557268,1.102996064,1,30.98
1558794_at,NUTM2A-AS1,NUTM2A antisense RNA 1,-0.458902664,6.695643588,-4.128743333,0.000108352,0.003557268,1.102512011,1,25.99
243957_at,UBE2Q2P13,UBE2Q2 pseudogene 13,-0.318315677,6.441119999,-4.128710112,0.000108364,0.003557268,1.102407138,1,55.88
210788_s_at,DHRS7,dehydrogenase/reductase 7,0.301947236,9.675299769,4.127485539,0.000108819,0.003566811,1.098541695,0,25.95
224159_x_at,TRIM4,tripartite motif containing 4,-0.247530431,8.704565616,-4.127387053,0.000108856,0.003566811,1.098230844,1,18.23
224522_s_at,DCAKD,dephospho-CoA kinase domain containing,-0.235247022,5.925720642,-4.126298857,0.000109262,0.003575716,1.094796466,1,32.72
202187_s_at,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha,0.445588677,8.081669411,4.125816281,0.000109443,0.003579424,1.093273601,0,19.02
240613_at,JAK1,Janus kinase 1,-0.276543104,7.199117375,-4.125415342,0.000109593,0.003582135,1.092008437,1,25.92
204777_s_at,MAL,"mal, T cell differentiation protein",-0.569892612,7.209845347,-4.122898021,0.000110542,0.003606478,1.084066586,1,17.67
232865_at,AFF4,ALF transcription elongation factor 4,-0.347704132,6.656036242,-4.121810143,0.000110954,0.003611471,1.080635296,1,39.98
203056_s_at,PRDM2,PR/SET domain 2,-0.181085463,10.09264264,-4.121776979,0.000110966,0.003611471,1.0805307,1,26.15
238468_at,TNRC6B,trinucleotide repeat containing adaptor 6B,-0.255887596,8.803003389,-4.121204232,0.000111184,0.003613629,1.078724404,1,25
223491_at,COMMD2,COMM domain containing 2,0.330382541,2.535908264,4.121065951,0.000111237,0.003613629,1.078288322,0,20.99
231962_at,AP4B1,adaptor related protein complex 4 subunit beta 1,-0.29478927,4.755156212,-4.120423086,0.000111482,0.003613663,1.076261097,1,36.01
239231_at,ZNF101,zinc finger protein 101,-0.380412678,7.609609565,-4.12012834,0.000111594,0.003613663,1.075331695,1,0
243967_at,AFF3,ALF transcription elongation factor 3,-0.517133412,3.83172167,-4.11999311,0.000111646,0.003613663,1.074905299,1,20.01
226875_at,DOCK11,dedicator of cytokinesis 11,0.358552662,8.995687263,4.118529366,0.000112206,0.003629592,1.070290421,0,37.25
225912_at,TP53INP1,tumor protein p53 inducible nuclear protein 1,0.371875232,8.964141472,4.118138783,0.000112356,0.003630025,1.069059152,0,119.61
219483_s_at,PORCN,porcupine O-acyltransferase,-0.35140032,5.752936812,-4.117202631,0.000112716,0.003639453,1.066108299,1,27
223204_at,GASK1B,golgi associated kinase 1B,0.622378164,6.326065113,4.11633806,0.00011305,0.003646235,1.063383414,0,26.97
202156_s_at,CELF2,CUGBP Elav-like family member 2,0.204495337,7.679412389,4.116219991,0.000113096,0.003646235,1.063011315,0,20.27
200626_s_at,MATR3,matrin 3,0.483050491,8.145845597,4.116125653,0.000113132,0.003646235,1.062714013,0,31.04
203845_at,KAT2B,lysine acetyltransferase 2B,0.473949092,6.863797358,4.113991819,0.000113961,0.003670707,1.05599033,0,0.46
225214_at,LOC100129034,uncharacterized LOC100129034,0.351481255,6.095646186,4.113634082,0.0001141,0.003672973,1.054863295,0,17.74
1554631_at,ATM,ATM serine/threonine kinase,-0.324916876,9.124418545,-4.112092733,0.000114703,0.003688523,1.050007975,1,12.45
225152_at,ZNF622,zinc finger protein 622,0.216941425,6.943541422,4.112043906,0.000114722,0.003688523,1.049854184,0,0.99
201678_s_at,HMCES,"5-hydroxymethylcytosine binding, ES cell specific",-0.311151545,6.405028323,-4.111754038,0.000114836,0.003689946,1.048941207,1,11.99
234710_s_at,PARP6,poly(ADP-ribose) polymerase family member 6,-0.22221252,6.818525619,-4.111501095,0.000114935,0.003690496,1.048144558,1,54.99
221935_s_at,EOGT,EGF domain specific O-linked N-acetylglucosamine transferase,0.338969371,2.061878314,4.111356865,0.000114992,0.003690496,1.047690318,0,31.87
205966_at,TAF13,TATA-box binding protein associated factor 13,0.410523193,6.458864598,4.110811038,0.000115206,0.003695154,1.045971354,0,32.95
212303_x_at,KHSRP,KH-type splicing regulatory protein,-0.286450649,5.54243686,-4.110213403,0.000115442,0.003700451,1.044089382,1,34.23
1553547_at,RBM26,RNA binding motif protein 26,-0.314215208,5.06458977,-4.110038849,0.000115511,0.003700451,1.043539732,1,3.48
222787_s_at,TMEM106B,transmembrane protein 106B,-0.350919131,9.074305527,-4.108899134,0.000115961,0.003712651,1.039951242,1,28.98
220243_at,ZBTB44,zinc finger and BTB domain containing 44,-0.256100815,6.249821684,-4.108295876,0.000116201,0.003715833,1.038052057,1,24.11
202543_s_at,GMFB,glia maturation factor beta,0.498392882,4.571859784,4.107110388,0.000116672,0.003727289,1.034320344,0,19.97
200999_s_at,CKAP4,cytoskeleton associated protein 4,0.456164756,9.066995972,4.107022614,0.000116707,0.003727289,1.034044071,0,17.02
224024_at,ERGIC1,endoplasmic reticulum-golgi intermediate compartment 1,0.376182249,4.156930815,4.105635161,0.000117261,0.003740754,1.029677426,0,15.11
201825_s_at,SCCPDH,saccharopine dehydrogenase (putative),0.501795644,5.981108202,4.10498608,0.000117522,0.003741743,1.027634901,0,36.01
217863_at,PIAS1,protein inhibitor of activated STAT 1,0.402056583,6.91419338,4.104855515,0.000117574,0.003741743,1.02722406,0,88.14
218138_at,MKKS,MKKS centrosomal shuttling protein,0.401933956,5.714228478,4.104300035,0.000117797,0.003746603,1.025476252,0,51.94
231031_at,FGF7P3,fibroblast growth factor 7 pseudogene 3,0.488108354,3.859935065,4.104035091,0.000117904,0.003747751,1.024642659,0,20.96
240528_s_at,EXOC4,exocyst complex component 4,-0.335582101,6.793109569,-4.103669642,0.000118051,0.00374954,1.023492893,1,15.01
202105_at,IGBP1,immunoglobulin binding protein 1,0.271270724,7.529681727,4.103545229,0.000118101,0.00374954,1.023101481,0,17.81
229652_s_at,FOXN3,forkhead box N3,-0.329290799,6.488877106,-4.103088335,0.000118286,0.003753151,1.021664121,1,26.02
223868_s_at,WWOX,WW domain containing oxidoreductase,-0.346905229,5.372943607,-4.101775062,0.000118817,0.003765519,1.017533146,1,8.38
230741_at,P2RX7,purinergic receptor P2X 7,0.551947142,5.791175259,4.100140573,0.000119482,0.003773284,1.012392803,0,16.13
229460_at,HYCC2,hyccin PI4KA lipid kinase complex subunit 2,0.7080281,7.40781937,4.100015295,0.000119533,0.003773284,1.011998862,0,9.99
217987_at,ASNSD1,asparagine synthetase domain containing 1,0.478887409,5.695495365,4.099513357,0.000119738,0.003776683,1.010420565,0,0.46
202110_at,COX7B,cytochrome c oxidase subunit 7B,0.670845093,8.008887184,4.098973083,0.000119959,0.003781408,1.008721846,0,51.94
204435_at,NUP58,nucleoporin 58,0.589638408,5.357530276,4.098621548,0.000120103,0.0037817,1.007616623,0,88.14
225490_at,ARID2,AT-rich interaction domain 2,-0.250845469,6.774877501,-4.098603014,0.00012011,0.0037817,1.007558355,1,12.09
223609_at,ROPN1L,rhophilin associated tail protein 1 like,0.635858199,5.567092404,4.098114355,0.000120311,0.00378533,1.006022109,0,36.01
213142_x_at,GSAP,gamma-secretase activating protein,0.432700339,6.4232668,4.097628144,0.000120511,0.00378533,1.00449366,0,24.01
1569974_x_at,SEPTIN7P2,septin 7 pseudogene 2,-0.211342603,6.157528718,-4.091493061,0.000123059,0.003845413,0.985216259,1,33.02
220220_at,LRRC37A4P,"leucine rich repeat containing 37 member A4, pseudogene",-0.563259532,7.668363914,-4.09134064,0.000123123,0.003845413,0.984737536,1,32.42
219915_s_at,SLC16A10,solute carrier family 16 member 10,-0.550040165,2.789932686,-4.090938381,0.000123292,0.003845413,0.983474168,1,74.57
228738_at,D2HGDH,D-2-hydroxyglutarate dehydrogenase,-0.329410813,8.156999881,-4.089166127,0.000124039,0.003861915,0.977908926,1,13.04
228149_at,SAMTOR,S-adenosylmethionine sensor upstream of mTORC1,0.559615523,5.333276958,4.088833189,0.00012418,0.003864036,0.976863583,0,15.9
201275_at,FDPS,farnesyl diphosphate synthase,-0.186334911,9.393511101,-4.087769664,0.000124631,0.003872268,0.9735247,1,30.98
1557693_at,SMC5-DT,SMC5 divergent transcript,-0.357321557,4.084891971,-4.087693858,0.000124663,0.003872268,0.97328673,1,34
241888_at,ACTR3C,actin related protein 3C,-0.295988026,1.656407548,-4.086510195,0.000125167,0.003881097,0.9695713,1,36.01
229174_at,C3orf38,chromosome 3 open reading frame 38,0.422471534,3.544318123,4.086386058,0.00012522,0.003881097,0.969181675,0,13.99
202872_at,ATP6V1C1,ATPase H+ transporting V1 subunit C1,0.538804919,5.106891714,4.086340152,0.000125239,0.003881097,0.969037596,0,8.38
211874_s_at,KAT6B,lysine acetyltransferase 6B,-0.342654088,6.002126809,-4.083872128,0.000126297,0.003911586,0.961292787,1,0
208794_s_at,SMARCA4,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4,-0.303610432,8.933032682,-4.082012836,0.000127099,0.003934142,0.955459961,1,0.99
202413_s_at,USP1,ubiquitin specific peptidase 1,0.511014395,5.386247326,4.080520919,0.000127746,0.003945908,0.950780724,0,25.99
209186_at,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,-0.253017713,7.664371881,-4.080452461,0.000127776,0.003945908,0.950566036,1,27
228152_s_at,DDX60L,DExD/H-box 60 like,0.579402028,8.074681692,4.079559756,0.000128165,0.003954788,0.947766652,0,16.43
220122_at,MCTP1,multiple C2 and transmembrane domain containing 1,0.460431946,6.030286828,4.079292382,0.000128282,0.003954788,0.946928276,0,0
200902_at,SELENOF,selenoprotein F,0.282367556,8.395140033,4.079241088,0.000128304,0.003954788,0.946767442,0,17.02
221903_s_at,CYLD,CYLD lysine 63 deubiquitinase,0.282933794,6.475018643,4.079110254,0.000128361,0.003954788,0.946357213,0,11.63
209001_s_at,ANAPC13,anaphase promoting complex subunit 13,0.412588024,5.949519187,4.078363771,0.000128688,0.003957967,0.944016771,0,29.96
201209_at,HDAC1,histone deacetylase 1,-0.207048454,8.503011399,-4.07796941,0.000128861,0.003958702,0.942780433,1,2.66
212519_at,UBE2E1,ubiquitin conjugating enzyme E2 E1,0.509247819,6.349546959,4.077236549,0.000129182,0.003966296,0.940483063,0,9.07
209666_s_at,CHUK,component of inhibitor of nuclear factor kappa B kinase complex,0.537858974,4.043478094,4.076777305,0.000129384,0.003970207,0.939043543,0,10.25
227089_at,COG5,component of oligomeric golgi complex 5,0.283809016,7.401655135,4.076297962,0.000129596,0.003974394,0.937541124,0,39.95
228220_at,FCHO2,FCH and mu domain containing endocytic adaptor 2,0.723311383,5.158022163,4.072185433,0.000131422,0.004025748,0.924655199,0,34.95
203518_at,LYST,lysosomal trafficking regulator,0.407404491,7.528056842,4.071949331,0.000131527,0.004026661,0.923915639,0,13.93
1558369_at,MPHOSPH9,M-phase phosphoprotein 9,-0.41404235,5.881304641,-4.071732778,0.000131624,0.004027308,0.923237332,1,11.99
222565_s_at,PRKD3,protein kinase D3,-0.262133054,8.034758616,-4.070913598,0.000131991,0.004034807,0.920671611,1,44.65
206111_at,RNASE2,ribonuclease A family member 2,0.883604882,6.444719677,4.070847446,0.000132021,0.004034807,0.920464431,0,36.01
218554_s_at,ASH1L,ASH1 like histone lysine methyltransferase,-0.241538152,7.514862815,-4.070536719,0.000132161,0.004036752,0.919491303,1,27
219797_at,MGAT4A,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",-0.332767306,8.0102221,-4.070009375,0.000132398,0.004041416,0.917839873,1,0
207831_x_at,DHPS,deoxyhypusine synthase,-0.220540804,6.751578344,-4.06870713,0.000132986,0.004054952,0.91376228,1,7.16
230836_at,ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",0.618726765,5.979124854,4.066517085,0.000133979,0.00407981,0.90690648,0,13.99
204731_at,TGFBR3,transforming growth factor beta receptor 3,-0.502561371,6.330981191,-4.066001751,0.000134214,0.00407981,0.905293566,1,13.76
201761_at,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",0.597702835,5.565849621,4.065888484,0.000134266,0.00407981,0.904939073,0,16.06
219139_s_at,CROCCP3,CROCC pseudogene 3,-0.324629046,5.561034805,-4.065864184,0.000134277,0.00407981,0.904863021,1,0
217282_at,MAN1A2,mannosidase alpha class 1A member 2,0.310685682,3.964906897,4.065803461,0.000134305,0.00407981,0.904672978,0,0.92
1562830_at,METTL15,"methyltransferase 15, mitochondrial 12S rRNA N4-cytidine",-0.36995147,3.677430948,-4.065730218,0.000134338,0.00407981,0.904443756,1,13.01
220831_at,GCNT4,glucosaminyl (N-acetyl) transferase 4,-0.528577091,5.434799165,-4.065167982,0.000134595,0.004083857,0.902684243,1,135.55
200856_x_at,NCOR1,nuclear receptor corepressor 1,-0.228876211,6.791572396,-4.065102417,0.000134625,0.004083857,0.902479067,1,23.85
242635_s_at,NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,-0.389976108,5.480262323,-4.064697964,0.00013481,0.004084811,0.901213431,1,34.46
212771_at,FAM171A1,family with sequence similarity 171 member A1,-0.438111233,4.52932855,-4.064303342,0.000134991,0.00408498,0.89997863,1,15.01
210031_at,CD247,CD247 molecule,-0.44628294,8.700214515,-4.06406752,0.000135099,0.00408498,0.899240755,1,27.07
225653_at,TGFBRAP1,transforming growth factor beta receptor associated protein 1,-0.208071576,6.11362967,-4.064015481,0.000135123,0.00408498,0.899077932,1,29.14
1569482_at,TNRC6C,trinucleotide repeat containing adaptor 6C,0.522397147,3.25421469,4.062261918,0.000135931,0.004098009,0.893591946,0,28.22
223161_at,DENND11,DENN domain containing 11,-0.318433963,6.643435874,-4.062130924,0.000135991,0.004098009,0.893182189,1,37.16
217094_s_at,ITCH,itchy E3 ubiquitin protein ligase,0.262908028,7.383506916,4.062098585,0.000136006,0.004098009,0.893081031,0,63.37
209448_at,HTATIP2,HIV-1 Tat interactive protein 2,0.387037046,7.093073648,4.061918403,0.000136089,0.004098009,0.892517425,0,14.03
228803_at,PMS1,"PMS1 homolog 1, mismatch repair system component",-0.374116034,6.447490701,-4.061908609,0.000136094,0.004098009,0.89248679,1,37.02
225215_s_at,MTRF1L,mitochondrial translation release factor 1 like,-0.260332757,8.219395466,-4.061240333,0.000136403,0.004101525,0.890396561,1,11.99
204074_s_at,CEP104,centrosomal protein 104,-0.23397302,7.03083952,-4.060989779,0.000136519,0.004101525,0.889612929,1,18.27
212487_at,GPATCH8,G-patch domain containing 8,-0.252685526,6.811185939,-4.060321369,0.00013683,0.004102893,0.88752255,1,34
212480_at,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,-0.240259765,7.167069333,-4.060226618,0.000136874,0.004102893,0.887226243,1,0
218438_s_at,MED28,mediator complex subunit 28,0.295077277,6.108948905,4.059645001,0.000137144,0.004107021,0.885407483,0,12.58
215596_s_at,LTN1,listerin E3 ubiquitin protein ligase 1,0.454286833,4.774407283,4.059598608,0.000137166,0.004107021,0.885262413,0,15.01
225336_at,SCAF11,SR-related CTD associated factor 11,0.367244291,8.119205042,4.058617755,0.000137624,0.004112706,0.882195569,0,25.03
235227_at,STXBP5,syntaxin binding protein 5,0.603053786,6.157240639,4.058607641,0.000137628,0.004112706,0.882163946,0,23.98
229069_at,SARNP,SAP domain containing ribonucleoprotein,-0.264307461,7.946655161,-4.058153811,0.000137841,0.004112706,0.880745096,1,20.11
236941_at,PRR14L,proline rich 14 like,-0.328470361,5.631183878,-4.058099437,0.000137866,0.004112706,0.880575107,1,7.16
213241_at,PLXNC1,plexin C1,0.522426931,8.463749024,4.058032223,0.000137898,0.004112706,0.880364978,0,3.48
209091_s_at,SH3GLB1,"SH3 domain containing GRB2 like, endophilin B1",0.347331103,7.917337467,4.057802101,0.000138005,0.004113612,0.879645573,0,35.71
217845_x_at,HIGD1A,HIG1 hypoxia inducible domain family member 1A,0.409669456,6.945178199,4.056161145,0.000138776,0.004129646,0.87451631,0,44.65
218851_s_at,WDR33,WD repeat domain 33,-0.341581156,5.914962347,-4.055769991,0.000138961,0.004132819,0.873293821,1,17.84
212474_at,AVL9,AVL9 cell migration associated,0.351845446,7.198753414,4.052537933,0.000140493,0.004169072,0.863195139,0,43
1561004_at,PRKCQ-AS1,PRKCQ antisense RNA 1,-0.479478538,5.972275137,-4.051490404,0.000140994,0.004179249,0.859923085,1,34
216042_at,TNFRSF25,TNF receptor superfamily member 25,-0.526798589,7.497997926,-4.050279692,0.000141574,0.004187748,0.856141911,1,18.99
1560754_at,CMTM7,CKLF like MARVEL transmembrane domain containing 7,-0.321174226,6.926353248,-4.050234772,0.000141596,0.004187748,0.856001634,1,36.99
241887_at,UBE2W,ubiquitin conjugating enzyme E2 W,0.518815712,6.065463577,4.050044742,0.000141687,0.004188117,0.855408215,0,44.74
210062_s_at,ZNF589,zinc finger protein 589,-0.463709233,6.987694214,-4.049646717,0.000141878,0.004191445,0.854165327,1,21.98
201595_s_at,ZC3H15,zinc finger CCCH-type containing 15,0.524226794,6.560000205,4.048713153,0.000142328,0.004202402,0.851250415,0,33.31
219397_at,COQ10B,coenzyme Q10B,0.292538349,6.747952704,4.04799968,0.000142673,0.00420594,0.849022962,0,7.19
202266_at,TDP2,tyrosyl-DNA phosphodiesterase 2,0.459587404,7.270745214,4.047475613,0.000142927,0.004210234,0.847386978,0,6.8
218987_at,ATF7IP,activating transcription factor 7 interacting protein,-0.20128544,7.015296444,-4.047346249,0.00014299,0.004210234,0.846983161,1,11.99
